Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
1	21-ene-23	12:00:30 a. m.	17		0	367	1536	101	0	821	0	0	394	352	683	532	10	1141
2		12:30:30 a. m.	17.5		0	993	157	351	0	1610	0	0	537	1589	269	267	49	867
3		1:00:30 a. m.	18		0	0	56	800	0	1695	0	0	3564	103	23	234	93	3596
4		1:30:30 a. m.	18.5		0	9	46	553	0	791	0	0	3524	426	110	1089	208	3061
5		2:00:30 a. m.	19		0	36	0	694	0	2246	0	0	533	1928	958	975	19	1852
6		2:30:30 a. m.	19.5		0	46	0	20	1	672	0	0	707	1008	231	1889	1501	868
7		3:00:30 a. m.	20		0	625	65	0	0	13	0	0	3610	798	32	709	322	2504
8		3:30:30 a. m.	20.5		0	963	2053	0	0	2231	0	0	3065	42	0	622	2483	1192
9		4:00:30 a. m.	21		0	122	344	121	0	416	0	0	3971	796	226	431	1009	1248
10		4:30:30 a. m.	21.5		0	167	18	334	0	0	0	0	2011	2716	302	793	1220	2922
11		5:00:30 a. m.	22		0	258	0	9	0	434	0	0	940	104	492	593	0	1591
12		5:30:30 a. m.	22.5		0	19	210	37	0	0	0	0	1241	0	331	289	40	1256
13		6:00:30 a. m.	23		0	0	18	0	0	0	0	0	653	0	312	277	10	1627
14		6:30:30 a. m.	23.5		0	187	9	18	0	21	0	0	2149	249	1398	413	19	938
15		7:00:30 a. m.	0		0	862	88	694	0	1497	0	0	997	0	328	187	374	2623
16		7:30:30 a. m.	0.5		0	0	0	64	0	27	0	0	408	0	0	217	14	1113
17		8:00:30 a. m.	1		0	9	18	9	0	878	0	0	2195	0	143	177	1421	2158
18		8:30:30 a. m.	1.5		0	28	0	0	0	1780	0	0	146	1235	43	184	2699	725
19		9:00:30 a. m.	2		0	306	129	0	0	118	0	0	59	0	0	151	57	1284
20		9:30:30 a. m.	2.5		0	1085	10	0	0	11	0	0	1270	468	0	388	73	944
21		10:00:30 a. m.	3		0	454	0	0	0	0	0	0	122	0	0	224	0	1669
22		10:30:30 a. m.	3.5		0	0	17	1015	0	0	0	0	156	247	383	130	25	1142
23		11:00:30 a. m.	4		0	37	9	0	0	0	0	0	226	515	433	437	20	1110
24		11:30:30 a. m.	4.5		0	77	0	0	0	0	0	0	333	220	0	0	190	1800
25		12:00:30 p. m.	5		0	72	0	0	1	1417	0	0	221	0	0	0	88	2551
26		12:30:30 p. m.	5.5		0	36	0	0	0	1109	0	0	482	0	0	0	346	807
27		1:00:30 p. m.	6		0	743	785	0	0	457	0	0	140	34	0	0	474	704
28		1:30:30 p. m.	6.5		0	285	9	29	0	66	0	0	498	0	200	0	0	947
29		2:00:30 p. m.	7		0	9	10	9	0	83	0	0	2992	66	160	0	0	734
30		2:30:30 p. m.	7.5		0	37	9	0	0	123	0	0	742	736	0	0	69	322
31		3:00:30 p. m.	8		0	54	0	293	0	145	0	0	137	26	0	0	730	528
32		3:30:30 p. m.	8.5		0	18	0	330	0	369	0	0	220	18	35	91	546	535
33		4:00:30 p. m.	9		0	151	57	0	0	612	0	0	134	187	0	0	0	565
34		4:30:30 p. m.	9.5		0	0	19	0	0	80	0	0	116	247	68	0	0	576
35		5:00:30 p. m.	10		0	39	194	0	0	39	0	0	76	72	83	522	30	1041
36		5:30:30 p. m.	10.5		0	226	64	10	0	36	0	0	242	585	258	759	49	1840
37		6:00:30 p. m.	11		0	10	0	0	0	195	0	0	25	1235	0	781	2146	822
38		6:30:30 p. m.	11.5		0	10	0	0	0	557	0	0	125	44	153	220	61	765
39		7:00:30 p. m.	12		0	112	433	488	0	1335	0	0	3061	1554	319	831	2060	2676
40		7:30:30 p. m.	12.5		0	723	816	48	0	1360	0	0	512	536	925	1533	464	1640
41		8:00:30 p. m.	13		0	357	1101	1028	0	1834	0	0	450	125	778	1431	2197	2934
42		8:30:30 p. m.	13.5		0	58	725	9	0	135	0	0	2104	131	190	906	915	926
43		9:00:30 p. m.	14		0	397	27	39	0	1096	0	0	3753	134	255	1248	414	2625
44		9:30:30 p. m.	14.5		0	75	9	149	0	1752	0	0	817	1753	400	384	1341	1683
45		10:00:30 p. m.	15		0	179	86	30	0	1001	0	0	4652	1449	342	35	3743	1108
46		10:30:30 p. m.	15.5		0	236	0	1907	0	55	0	0	1951	8	0	1012	956	1037
47		11:00:30 p. m.	16		0	229	0	9	0	368	0	0	61	324	238	134	739	934
48		11:30:30 p. m.	16.5		0	85	26	29	0	299	0	0	1844	0	362	228	183	1100
49	22-ene-23	12:00:30 a. m.	17		0	84	63	128	1	433	0	0	103	959	0	1488	0	4195
50		12:30:30 a. m.	17.5		0	330	9	2205	0	186	0	0	49	545	210	1147	104	3689
51		1:00:30 a. m.	18		0	0	0	845	1	1884	0	0	66	216	331	247	104	1187
52		1:30:30 a. m.	18.5		0	10	172	0	0	1415	0	0	199	0	18	735	2257	1134
53		2:00:30 a. m.	19		0	0	290	9	0	354	0	0	129	392	0	428	3143	2673
54		2:30:30 a. m.	19.5		0	47	963	0	0	258	0	0	371	3367	365	833	108	1452
55		3:00:30 a. m.	20		0	163	0	0	0	606	0	0	3864	2143	109	1697	52	2477
56		3:30:30 a. m.	20.5		0	172	0	83	0	225	0	0	2780	231	27	406	816	2156
57		4:00:30 a. m.	21		0	283	354	28	0	2325	0	0	405	56	322	0	233	1410
58		4:30:30 a. m.	21.5		0	93	96	1260	0	1124	0	0	2752	0	8	160	1369	2555
59		5:00:30 a. m.	22		0	139	0	226	0	11	0	0	718	83	0	0	15	849
