Muestreo,Fecha,Hora,Fecha-Hora,ZT,Notas,Promedio,APS1,APS2,APS3,APS4,RPS1,RPS2,RPS3,RPS4,ENV1,ENV2,ENV3,APS AVER,RPS AVER,ALL AVER,ENV AVER
1,,,20/02/2023 07:01,0,CONTROL,,37.75,37.875,37.25,37.125,37.625,38.375,38.125,38.125,20.25,19.5,0,37.65625,37.78125,37.78125,19.875
2,,,20/02/2023 07:31,0.5,,,37,38,37.5,37.375,37.375,38.125,38,37.875,20,19.75,0,37.546875,37.65625,37.65625,19.875
3,,,20/02/2023 08:01,1,,,37.5,37.875,37.25,37.5,37.375,37.875,37.625,37.375,20.25,19.875,0,37.421875,37.546875,37.546875,20.0625
4,,,20/02/2023 08:31,1.5,,,37.25,37.625,37.5,37.5,37.375,37.375,37.625,37.125,20.5,20,0,37.453125,37.421875,37.421875,20.25
5,,,20/02/2023 09:01,2,,,37,37.375,37.625,37.5,37.75,37.5,37.75,37.125,20.75,20.25,0,37.703125,37.453125,37.453125,20.5
6,,,20/02/2023 09:31,2.5,,,37.625,37.625,37.5,38.5,37.625,37.75,37.75,37.25,21.125,20.625,0,37.65625,37.703125,37.703125,20.875
7,,,20/02/2023 10:01,3,,,37.625,38.375,37,37.875,37.625,37.875,37.625,37.25,21.625,21,0,37.671875,37.65625,37.65625,21.3125
8,,,20/02/2023 10:31,3.5,,,37.75,37.25,37.25,37.375,37.5,38,38.5,37.75,21.875,21.375,0,37.75,37.671875,37.671875,21.625
9,,,20/02/2023 11:01,4,,,37.625,37.875,37.75,37.25,37.5,38.5,38,37.5,22.125,21.625,0,37.546875,37.75,37.75,21.875
10,,,20/02/2023 11:31,4.5,,,37.5,37.75,37.375,37.125,37.5,38.375,37.625,37.125,22.5,21.875,0,37.578125,37.546875,37.546875,22.1875
11,,,20/02/2023 12:01,5,,,37.375,37.875,37.25,37.375,37.75,38.125,37.5,37.375,22.875,22.25,0,37.484375,37.578125,37.578125,22.5625
12,,,20/02/2023 12:31,5.5,,,37.25,37.5,37.625,37.375,37.625,37.5,37.75,37.25,23.125,22.5,0,37.5,37.484375,37.484375,22.8125
13,,,20/02/2023 13:01,6,,,37.25,37.125,37.25,37.25,37.375,37.5,38.375,37.875,23.75,23,0,37.453125,37.5,37.5,23.375
14,,,20/02/2023 13:31,6.5,,,37.5,37.25,37.25,37.25,37.5,37.875,37.375,37.625,24.125,23.25,0,37.359375,37.453125,37.453125,23.6875
15,,,20/02/2023 14:01,7,,,37.5,36.75,37.125,37,37.375,38,37.75,37.375,24.375,23.5,0,37.46875,37.359375,37.359375,23.9375
16,,,20/02/2023 14:31,7.5,,,37.25,37.625,37.5,37,37.25,37.875,37.75,37.5,24.5,23.75,0,37.453125,37.46875,37.46875,24.125
17,,,20/02/2023 15:01,8,,,37,37.5,37.375,37.375,37.5,37.75,37.75,37.375,24.75,24,0,37.40625,37.453125,37.453125,24.375
18,,,20/02/2023 15:31,8.5,,,36.75,37.75,37.875,36.875,37.375,37.625,37.625,37.375,25,24.25,0,37.453125,37.40625,37.40625,24.625
19,,,20/02/2023 16:01,9,,,37,37.375,37.875,37.625,37.25,37.875,37.375,37.25,25.25,24.5,0,37.46875,37.453125,37.453125,24.875
20,,,20/02/2023 16:31,9.5,,,37.25,37.375,37.375,37.375,37.25,37.875,37.75,37.5,25.375,24.625,0,37.5,37.46875,37.46875,25
21,,,20/02/2023 17:01,10,,,37.25,37.125,37.75,37.25,37.625,37.75,37.625,37.625,25.5,24.875,0,37.53125,37.5,37.5,25.1875
22,,,20/02/2023 17:31,10.5,,,37.625,37.125,37.375,37.375,37.125,37.625,38,38,25.5,25,0,37.4375,37.53125,37.53125,25.25
23,,,20/02/2023 18:01,11,,,37.375,36.75,37.5,36.875,37.625,37.625,38,37.75,25.625,25.125,0,37.5625,37.4375,37.4375,25.375
24,,,20/02/2023 18:31,11.5,,,37.25,36.875,37.5,37.25,37.5,38.25,37.875,38,25.5,25.125,0,37.75,37.5625,37.5625,25.3125
25,,,20/02/2023 19:01,12,,,38,37.875,38.25,37.25,37.625,37.625,37.875,37.5,25.5,25.125,0,37.984375,37.75,37.75,25.3125
26,,,20/02/2023 19:31,12.5,,,38.125,37.875,38.125,38,37.625,38.125,38.125,37.875,25,24.75,0,37.875,37.984375,37.984375,24.875
27,,,20/02/2023 20:01,13,,,38,37.75,37.875,37.75,37.5,38.375,38,37.75,25,24.5,0,37.921875,37.875,37.875,24.75
28,,,20/02/2023 20:31,13.5,,,38,37.75,37.875,37.375,38,38.375,38.125,37.875,24.75,24.375,0,38.1875,37.921875,37.921875,24.5625
29,,,20/02/2023 21:01,14,,,38.75,37.75,38.375,38,38.25,38.625,37.875,37.875,24.625,24.25,0,38.171875,38.1875,38.1875,24.4375
30,,,20/02/2023 21:31,14.5,,,38.125,38.25,37.875,37.75,38.375,38.75,38.375,37.875,24.25,24.125,0,38.4375,38.171875,38.171875,24.1875
31,,,20/02/2023 22:01,15,,,38.625,38.125,38.75,38.375,38.625,38.375,38.375,38.25,24.25,23.875,0,38.140625,38.4375,38.4375,24.0625
32,,,20/02/2023 22:31,15.5,,,38,38.125,38.25,38,38.125,38.5,38.375,37.75,24.125,23.75,0,38.453125,38.140625,38.140625,23.9375
